HEX;R;G;B;CIE_L;CIE_A;CIE_B;English;French
#5F9EA0;95;158;160;61.15;-19.42;-8.11; Cadet Blue;Bleu clair
#4682B4;70;130;180;52.47;-3.83;-32.93; Steel Blue;Bleu
#B0C4DE;176;196;222;78.45;-0.94;-16.09; Light Steel Blue;Bleu clair
#B0E0E6;176;224;230;86.13;-13.73;-8.91; Powder Blue;Bleu clair
#ADD8E6;173;216;230;83.81;-10.54;-12.38; Light Blue;Bleu clair
#87CEEB;135;206;235;79.21;-14.50;-22.19; Sky Blue;Bleu clair
#87CEFA;135;206;250;79.73;-10.49;-29.46; Light Sky Blue;Bleu clair
#00BFFF;0;191;255;72.55;-17.35;-43.50; Deep Sky Blue;Bleu clair
#1E90FF;30;144;255;59.38;10.25;-64.34; Dodger Blue;Bleu
#6495ED;100;149;237;61.93;9.63;-50.20; Cornflower Blue;Bleu
#7B68EE;123;104;238;52.16;41.36;-66.30; Medium Slate Blue;Bleu violet
#4169E1;65;105;225;47.83;26.52;-66.13; Royal Blue;Bleu Royal
#0000FF;0;0;255;32.30;79.43;-108.80; Blue;Bleu
#0000CD;0;0;205;24.98;67.39;-92.29; Medium Blue;Bleu
#00008B;0;0;139;14.76;50.58;-69.28; Dark Blue;Bleu Foncé
#000080;0;0;128;12.98;47.65;-65.26; Navy;Bleu Marine
#191970;25;25;112;15.86;31.86;-50.09; Midnight Blue;Bleu nuit
#D2B48C;210;180;140;74.97;5.35;23.78; Tan;Beige
#BC8F8F;188;143;143;63.61;17.32;5.96; Rosy Brown;Marron rosé
#F4A460;244;164;96;73.95;23.37;46.26; Sandy Brown;Orange
#DAA520;218;165;32;70.82;8.84;68.37; Goldenrod;Or
#B8860B;184;134;11;59.22;10.14;62.41; Dark Goldenrod;Or Foncé
#CD853F;205;133;63;61.75;21.69;47.50; Peru;Marron Orangé
#D2691E;210;105;30;55.99;37.35;56.41; Chocolate;Marron Chocolat
#8B4513;139;69;19;37.47;26.66;40.74; Saddle Brown;Marron
#A0522D;160;82;45;43.80;29.56;35.31; Sienna;Marron
#A52A2A;165;42;42;37.52;49.93;30.24; Brown;Marron
#800000;128;0;0;25.53;48.24;37.97; Maroon;Bordeaux
#FFFFFF;255;255;255;100.00;0.42;-0.99; White;Blanc
#FAF0E6;250;240;230;95.31;2.08;5.10; Linen;Blanc cassé
#FFF0F5;255;240;245;96.07;6.30;-1.55; Lavender Blush;Rose Pastel
#FFE4E1;255;228;225;92.66;9.15;3.93; Misty Rose;Rose Pastel
#808080;128;128;128;53.59;0.25;-0.59; Gray;Gris
#000000;0;0;0;0.00;0.00;0.00; Black;Noir
